name,entry_name,transmembrane,secretion,peripheral,integrin_interaction,secreted_highlight,secreted_desc,transporter,other,other_desc,tags,tags_description,tags_reason
P04629,NTRK1_HUMAN,True,False,False,False,False,,False,False,,,,
P05997,CO5A2_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P06734,FCER2_HUMAN,True,True,False,False,False,,False,False,,,,
P07550,ADRB2_HUMAN,True,False,False,False,False,,False,False,,,,
P08123,CO1A2_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P08174,DAF_HUMAN,True,True,False,False,False,,False,False,,,,
P08572,CO4A2_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P09326,CD48_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
P0DMS8,AA3R_HUMAN,True,False,False,False,False,,False,False,,,,
P10912,GHR_HUMAN,True,True,False,False,False,,False,False,,,,
P11047,LAMC1_HUMAN,False,True,False,False,False,,False,False,,,laminin,
P12107,COBA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P12109,CO6A1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P12110,CO6A2_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P12111,CO6A3_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P12830,CADH1_HUMAN,True,False,False,False,False,,False,False,,,Cadherin,
P13385,TDGF1_HUMAN,True,False,False,False,False,,False,False,,,,
P13591,NCAM1_HUMAN,True,True,False,False,False,,False,False,,,,
P13942,COBA2_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P14174,MIF_HUMAN,False,True,False,False,True,Cytokine,False,False,,,,
P14555,PA2GA_HUMAN,False,True,True,False,False,,False,False,,,,
P14735,IDE_HUMAN,True,True,False,False,False,,False,False,,,,
P15151,PVR_HUMAN,True,True,False,False,False,,False,False,,,,
P15813,CD1D_HUMAN,True,False,False,False,False,,False,False,,,,
P16070,CD44_HUMAN,True,False,False,False,False,,False,False,,,,
P16581,LYAM2_HUMAN,True,False,False,False,False,,False,False,,,,
P16619,CL3L1_HUMAN,False,True,False,False,True,Cytokine,False,False,,,,
P16671,CD36_HUMAN,True,False,False,False,False,,False,False,,,,
P19256,LFA3_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
P20333,TNR1B_HUMAN,True,True,False,False,False,,False,False,,,,
P20594,ANPRB_HUMAN,True,False,False,False,False,,False,False,,,,
P20701,ITAL_HUMAN,True,False,False,False,False,,False,False,,To_comment,Integrin,Extracellular_add
P20849,CO9A1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P20908,CO5A1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P21246,PTN_HUMAN,False,True,False,False,True,Growthfactor,False,False,,,,
P21462,FPR1_HUMAN,True,False,False,False,False,,False,False,,,,
P21709,EPHA1_HUMAN,True,False,False,False,False,,False,False,,,,
P21730,C5AR1_HUMAN,True,False,False,False,False,,False,False,,,,
P21731,TA2R_HUMAN,True,False,False,False,False,,False,False,,,,
P21741,MK_HUMAN,False,True,False,False,True,Growthfactor,False,False,,,,
P21802,FGFR2_HUMAN,True,True,False,False,True,Growthfactor,False,False,,,,
P21860,ERBB3_HUMAN,True,True,False,False,False,,False,False,,,,
P22888,LSHR_HUMAN,True,False,False,False,False,,False,False,,,,
P22897,MRC1_HUMAN,True,False,False,False,False,,False,False,,,,
P23471,PTPRZ_HUMAN,True,True,False,False,False,,False,False,,,,
P23945,FSHR_HUMAN,True,False,False,False,False,,False,False,,,,
P24821,TENA_HUMAN,False,True,False,False,False,,False,False,,,,
P25024,CXCR1_HUMAN,True,False,False,False,False,,False,False,,,,
P25025,CXCR2_HUMAN,True,False,False,False,False,,False,False,,,,
P25067,CO8A2_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P25089,FPR3_HUMAN,True,False,False,False,False,,False,False,,,,
P25090,FPR2_HUMAN,True,False,False,False,False,,False,False,,,,
P25092,GUC2C_HUMAN,True,False,False,False,False,,False,False,,,,
P25101,EDNRA_HUMAN,True,False,False,False,False,,False,False,,,,
P25929,NPY1R_HUMAN,True,False,False,False,False,,False,False,,,,
P25940,CO5A3_HUMAN,False,True,False,False,False,,False,True,Collagen,,Collagen,
P25942,TNR5_HUMAN,True,True,False,False,False,,False,False,,To_comment,,Extracellular_add
P27487,DPP4_HUMAN,True,True,False,False,False,,False,False,,,,
P27658,CO8A1_HUMAN,False,True,False,False,False,,False,True,Collagen,,Collagen,
P28799,GRN_HUMAN,False,True,False,False,True,Cytokine,False,False,,,,
P28908,TNR8_HUMAN,True,False,False,False,False,,False,False,,,,
P29274,AA2AR_HUMAN,True,False,False,False,False,,False,False,,,,
P29275,AA2BR_HUMAN,True,False,False,False,False,,False,False,,,,
P29322,EPHA8_HUMAN,True,False,False,False,False,,False,False,,,,
P29400,CO4A5_HUMAN,False,True,False,False,False,,False,True,Collagen,,Collagen,
P30530,UFO_HUMAN,True,False,False,False,False,,False,False,,,,
P30542,AA1R_HUMAN,True,False,False,False,False,,False,False,,,,
P30550,GRPR_HUMAN,True,False,False,False,False,,False,False,,,,
P30556,AGTR1_HUMAN,True,False,False,False,False,,False,False,,,,
P30872,SSR1_HUMAN,True,False,False,False,False,,False,False,,,,
P30968,GNRHR_HUMAN,True,False,False,False,False,,False,False,,,,
P30988,CALCR_HUMAN,True,False,False,False,False,,False,False,,,,
P30989,NTR1_HUMAN,True,False,False,False,False,,False,False,,,,
P31358,CD52_HUMAN,True,False,False,False,False,,False,False,,,,
P32004,L1CAM_HUMAN,True,False,False,False,False,,False,False,,,,
P32238,CCKAR_HUMAN,True,False,False,False,False,,False,False,,,,
P32239,GASR_HUMAN,True,False,False,False,False,,False,False,,,,
P32241,VIPR1_HUMAN,True,False,False,False,False,,False,False,,,,
P32245,MC4R_HUMAN,True,False,False,False,False,,False,False,,,,
P32246,CCR1_HUMAN,True,False,False,False,False,,False,False,,,,
P32248,CCR7_HUMAN,True,False,False,False,False,,False,False,,,,
P32302,CXCR5_HUMAN,True,False,False,False,False,,False,False,,,,
P33032,MC5R_HUMAN,True,False,False,False,False,,False,False,,,,
P35367,HRH1_HUMAN,True,False,False,False,False,,False,False,,,,
P35414,APJ_HUMAN,True,False,False,False,False,,False,False,,,,
P35916,VGFR3_HUMAN,True,True,False,False,False,,False,False,,,,
P37288,V1AR_HUMAN,True,False,False,False,False,,False,False,,,,
P39059,COFA1_HUMAN,False,True,False,False,False,,False,True,Collagen,,Collagen,
P39060,COIA1_HUMAN,False,True,False,False,False,,False,True,Collagen,,Collagen,
P40238,TPOR_HUMAN,True,False,False,False,False,,False,False,,,,
P41217,OX2G_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
P41586,PACR_HUMAN,True,False,False,False,False,,False,False,,,,
P41597,CCR2_HUMAN,True,False,False,False,False,,False,False,,,,
P41968,MC3R_HUMAN,True,False,False,False,False,,False,False,,,,
P42081,CD86_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
P43115,PE2R3_HUMAN,True,False,False,False,False,,False,False,,,,
P43119,PI2R_HUMAN,True,False,False,False,False,,False,False,,,,
P43490,NAMPT_HUMAN,False,True,False,False,True,Cytokine,False,False,,,,
P43626,KI2L1_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
P43628,KI2L3_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
P43629,KI3L1_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
P43630,KI3L2_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
P46091,GPR1_HUMAN,True,False,False,False,False,,False,False,,,,
P46092,CCR10_HUMAN,True,False,False,False,False,,False,False,,,,
P46094,XCR1_HUMAN,True,False,False,False,False,,False,False,,,,
P47211,GALR1_HUMAN,True,False,False,False,False,,False,False,,,,
P47872,SCTR_HUMAN,True,False,False,False,False,,False,False,,,,
P48145,NPBW1_HUMAN,True,False,False,False,False,,False,False,,,,
P48146,NPBW2_HUMAN,True,False,False,False,False,,False,False,,,,
P48745,NOV_HUMAN,False,True,False,False,True,Growthfactor,False,False,,,,
P48960,CD97_HUMAN,True,True,False,False,False,,False,False,,,,
P49146,NPY2R_HUMAN,True,False,False,False,False,,False,False,,,,
P49190,PTH2R_HUMAN,True,False,False,False,False,,False,False,,,,
P49238,CX3C1_HUMAN,True,False,False,False,False,,False,False,,,,
