Gene,PMID,Virus 1,Virus 2,Virus 3,Virus 4,Virus 5,Virus 6,Virus 7,Virus 8,Virus 9,Virus 10,Virus 11,Virus 12,Virus 13,Virus 14,Virus 15,Virus 16
CLEC4M,12050398|15371595|12502850|17037540|12433371|21191006|15479853|15479853|24623090|15479853,Ebolavirus,Hepatitis C virus,Human immunodeficiency virus 1,Human coronavirus 229E,Human cytomegalovirus,Influenza virus,Coronavirus SARS ,West nile virus,Japanese encephalitis virus,Marburg virus,,,,,,
CR2,2460635,Epstein-Barr virus,,,,,,,,,,,,,,,
CLDN9,17804490,Hepatitis C virus,,,,,,,,,,,,,,,
HTR2A,24089568,Human JC polyomavirus,,,,,,,,,,,,,,,
CD80,16920215,Adenovirus subgroup B,,,,,,,,,,,,,,,
CCR5,8649511|14645720,Human immunodeficiency virus 1,,Variola virus,,,,,,,,,,,,,
CD209,11799126|12502850|12502850|12433371|15371595|12682107|16537615|18796707|21191006|15140961|24623090|23966408|22090124|21767814|21767814|16415006,Human immunodeficiency virus 1,Human immunodeficiency virus 2,Ebolavirus,Human cytomegalovirus,Hepatitis C virus,Dengue virus,Measles virus,Herpes simplex 1,Influenza A virus,Coronavirus SARS,Japanese encephalitis virus,Lassa virus,Respiratory syncytial virus,Rift valley fever virus,Uukuniemi virus,West nile virus
DPP4,23486063,Coronavirus MERS,,,,,,,,,,,,,,,
SLAMF1,10972291,Measles virus,,,,,,,,,,,,,,,
CR1,23416052,Epstein-Barr virus,,,,,,,,,,,,,,,
ITGB7,26654242,Human immunodeficiency virus 1,,,,,,,,,,,,,,,
EFNB2,15998730|16477309,Nipah virus,Hendra virus,,,,,,,,,,,,,,
SCARB1,12356718,Hepatitis C virus,,,,,,,,,,,,,,,
TNFRSF4,23674671,Human herpesvirus 6B,,,,,,,,,,,,,,,
DAG1,16254364|19324387|17360738,Lassa virus,Lymphocytic choriomeningitis virus,New-world arenavirus,,,,,,,,,,,,,
ITGB5,20615244,Adenovirus type C,,,,,,,,,,,,,,,
NCAM1,9696812,Rabies virus,,,,,,,,,,,,,,,
SLC10A1,23150796,Hepatitis B virus,,,,,,,,,,,,,,,
CDHR3,25848009,Rhinovirus C,,,,,,,,,,,,,,,
EPHA2,21516087,Hepatitis C virus,,,,,,,,,,,,,,,
ITGA2,12941907|8411387|8411387,Rotavirus A,Human echovirus 1,Human echovirus 2,,,,,,,,,,,,,
NECTIN1,9657005|9657005,Herpes simplex 1,Herpes simplex 2,,,,,,,,,,,,,,
NECTIN4,22048310,Measles virus,,,,,,,,,,,,,,,
SERPINB3,11389143,Hepatitis B virus,,,,,,,,,,,,,,,
CLDN1,17325668|24074594,Hepatitis C virus,Dengue virus,,,,,,,,,,,,,,
CXADR,9733828|10814575|10814575|10814575|10814575|10814575|10814575,Adenovirus type C,Coxsackievirus B1,Coxsackievirus B2,Coxsackievirus B3,Coxsackievirus B4,Coxsackievirus B5,Coxsackievirus B6,,,,,,,,,
ITGB6,24367260|15194773,Herpes simplex 1,Coxsackievirus A9,,,,,,,,,,,,,,
F11R,11239401|25481868,Mammalian reovirus,Rotavirus A,,,,,,,,,,,,,,
AXL,17005688|22156524|17005688,Lassa virus,Lymphocytic choriomeningitis virus,Ebolavirus,,,,,,,,,,,,,
CD4,2214026|7909607,Human immunodeficiency virus 1,Human herpesvirus 7,,,,,,,,,,,,,,
P4HB,21670307,Human immunodeficiency virus 1,,,,,,,,,,,,,,,
CD55,9151867|9151867|9151867|9151867,Coxsackievirus A21,Coxsackieviruses B1,Coxsackieviruses B3,Coxsackieviruses B5,,,,,,,,,,,,
CXCR4,8849450|8929542,Human immunodeficiency virus 1,Human immunodeficiency virus 2,,,,,,,,,,,,,,
SELPLG,19543284,Enterovirus 71,,,,,,,,,,,,,,,
CD46,12915534|12915534|10972291|12724329|12724329,Adenovirus subgroup B2,Adenovirus subgroup Ad3,Measles virus,Human herpesvirus 6A,Human herpesvirus 6B,,,,,,,,,,,
NECTIN2,9657005|9657005,Herpes simplex 1,Herpes simplex 2,,,,,,,,,,,,,,
SCARB2,19543282,Enterovirus 71,,,,,,,,,,,,,,,
EGFR,21516087,Hepatitis C virus,,,,,,,,,,,,,,,
ITGB1,8411387|8411387|20660204|17945327|12907437|12941907|16501085,Human echovirus 1,Human echovirus 8,Human cytomegalovirus,Epstein-Barr virus,Human parvovirus B19,Rotavirus A,Mammalian reovirus,,,,,,,,,
GAS6,21501828|17005688|17005688|23084921,Vaccinia virus,Ebolavirus,Marburg virus,Dengue virus,,,,,,,,,,,,
ICAM1,2538243|2538243|11160747,Rhinovirus A,Rhinovirus B,Coxsackievirus A21,,,,,,,,,,,,,
LDLR,8127891|29531262|29531262,Hepatitis C virus,Vesicular stomatitis virus,Human immunodeficiency virus 1,,,,,,,,,,,,,
CAV2,8030260,Enterovirus,,,,,,,,,,,,,,,
ITGA5,12907437|24478423,Human metapneumovirus,Human parvovirus B19,,,,,,,,,,,,,,
CAV1,23760234,Enterovirus,,,,,,,,,,,,,,,
CD81,20375010,Hepatitis C virus,,,,,,,,,,,,,,,
RPSA,16973587|16973587|16973587|16973587|15507651|1385835|1385835,Adeno-associated virus 2,Adeno-associated virus 3,Adeno-associated virus 8,Adeno-associated virus 9,Dengue virus,Sindbis virus,Venezuelan equine encephalitis virus,,,,,,,,,
