"","Neutrophil"
"MFAP2",0
"AL049569.1",0
"ATP13A2",0
"SDHB",0.324963534220566
"PADI2",2.18611797749538
"AL590644.1",0
"AL590644.3",0
"PADI1",0
"PADI3",0
"MIR3972",0
"PADI4",0
"PADI6",0
"AC004824.1",0
"RCC2",0
"ARHGEF10L",0.0557741232928529
"AL136529.1",0
"ACTL8",0.0270310656753919
"AL357509.1",0
"LINC01654",0
"IGSF21",0.0733339743692391
"AL365209.1",0
"IGSF21-AS1",0
"AL591896.1",0
"KLHDC7A",0.065520292077101
"DYNLL1P3",0
"AL031737.1",0
"PAX7",0.0929070718859414
"TAS1R2",0
"AL080251.1",0
"ALDH4A1",0.0529739018247211
"MIR4695",0
"MIR1290",0
"IFFO2",0.0400108819310236
"AL137127.1",0.0260986746378872
"UBR4",0.580237287142189
"AL035413.1",0
"EMC1",0.0275143515185293
"MRTO4",0
"AKR7L",0
"AKR7A3",0
"AL035413.2",0
"AKR7A2",0.103777192705084
"RNU6-1099P",0
"PQLC2",0.0785464374407581
"CAPZB",2.02634476713667
"RN7SL277P",0
"MINOS1",0.0603981153299568
"RNU4-28P",0
"AL031727.2",0
"NBL1",0.0525653342488415
"MINOS1-NBL1",0
"AL031727.1",0.0509809289583326
"HTR6",0
"TMCO4",0.0377067918842906
"RNF186",0
"AL391883.1",0
"OTUD3",0
"PLA2G2E",0
"RN7SL304P",0.0213047027859622
"PLA2G2A",0
"PLA2G5",0.0532435090678315
"PLA2G2D",0
"PLA2G2F",0.0697853009110257
"Z98257.1",0
"PLA2G2C",0
"UBXN10-AS1",0
"UBXN10",0.0212310198374545
"LINC01757",0.0384798576839856
"Z98257.2",0
"VWA5B1",0
"AL020998.1",0
"LINC01141",0
"AL139254.1",0
"AL139254.2",0
"AL139254.3",0
"CAMK2N1",0.0220044892710809
"MUL1",0.118042006663072
"RPS4XP4",0
"FAM43B",0
"CDA",3.78198048380684
"PINK1",0.151997348177798
"MIR6084",0
"PINK1-AS",0.071212381461779
"DDOST",0.230559797585321
"KIF17",0.0427322685342642
"AL663074.2",0
"SH2D5",0.0893524993456147
"AL663074.1",0
"HP1BP3",0.582231558692412
"EIF4G3",0.712532012492038
"RNU7-200P",0
"MIR1256",0
"RPS15AP6",0
"AL627311.1",0
"HSPE1P27",0.0198695662507056
"ECE1",1.78806643650278
"AL031005.1",0.0465197039607884
"AL031728.1",0.0514522652838499
"PPP1R11P1",0.0251939512304075
"AL592309.1",0
"AL592309.2",0
"NBPF2P",0
"HS6ST1P1",0
"CROCCP5",0
"NBPF3",0.0412667709746872
"PFN1P10",0
"ALPL",1.76610893569554
"LINC02596",0
"RAP1GAP",0.0320081302074959
"USP48",0.435553440338103
"AL590103.1",0
"LDLRAD2",0
"HSPG2",0.300885710752681
"AL590556.1",0
"AL590556.2",0
"CELA3B",0.104936527157148
"AL590556.3",0
"RN7SL386P",0
"RNU6-1022P",0
"CELA3A",0.0681739234205124
"RN7SL186P",0
"RNU6-776P",0
"LINC01635",0
"LINC00339",0
"AL031281.2",0.110662429034744
"AL031281.3",0
"AL031281.4",0
"CDC42",0
"CDC42-IT1",0.144166556540472
"AL031281.1",0
"WNT4",0.0423683643286745
"AL445253.1",0.0565688773702522
"MIR4418",0
"PPIAP34",0.0324595010490504
"AL591122.1",0.0208444804453415
"ZBTB40",0.156925709764256
"ZBTB40-IT1",0
"EPHA8",0
"MIR6127",0
"C1QA",0.0334942868190995
"C1QC",0
"C1QB",0
"EPHB2",0.0541763627123162
"MIR4684",0
"AL512444.1",0
"MIR4253",0
"LACTBL1",0
"TEX46",0
"KDM1A",0.0264652839886686
"AL031428.1",0
"MIR3115",0
"MIR4419A",0
"LUZP1",0.0949935280103016
"AL161672.1",0
"RNU6-514P",0
"RNU6-135P",0
