Cell	cell_type
L19_B001237.gencode.vH29	Airway Smooth Muscle
L2_B001226.gencode.vH29	Airway Smooth Muscle
L6_B001235.gencode.vH29	Airway Smooth Muscle
L7_B001225.gencode.vH29	Airway Smooth Muscle
L8_B001235.gencode.vH29	Airway Smooth Muscle
M1_B001237.gencode.vH29	Airway Smooth Muscle
M10_B001225.gencode.vH29	Airway Smooth Muscle
M12_B001225.gencode.vH29	Airway Smooth Muscle
M16_B001239.gencode.vH29	Airway Smooth Muscle
M19_B001225.gencode.vH29	Airway Smooth Muscle
M2_B001228.gencode.vH29	Airway Smooth Muscle
M21_B001234.gencode.vH29	Airway Smooth Muscle
M22_B001235.gencode.vH29	Airway Smooth Muscle
M3_B001235.gencode.vH29	Airway Smooth Muscle
M4_B001224.gencode.vH29	Airway Smooth Muscle
M4_B001239.gencode.vH29	Airway Smooth Muscle
M9_B001223.gencode.vH29	Airway Smooth Muscle
M9_B001239.gencode.vH29	Airway Smooth Muscle
N1_B001223.gencode.vH29	Airway Smooth Muscle
N1_B001239.gencode.vH29	Airway Smooth Muscle
N11_B001223.gencode.vH29	Airway Smooth Muscle
N12_B001225.gencode.vH29	Airway Smooth Muscle
N13_B001234.gencode.vH29	Airway Smooth Muscle
N14_B001223.gencode.vH29	Airway Smooth Muscle
N14_B001224.gencode.vH29	Airway Smooth Muscle
N15_B001225.gencode.vH29	Airway Smooth Muscle
N18_B001225.gencode.vH29	Airway Smooth Muscle
N19_B001225.gencode.vH29	Airway Smooth Muscle
N22_B001239.gencode.vH29	Airway Smooth Muscle
N3_B001223.gencode.vH29	Airway Smooth Muscle
N3_B001239.gencode.vH29	Airway Smooth Muscle
N5_B001235.gencode.vH29	Airway Smooth Muscle
N8_B001223.gencode.vH29	Airway Smooth Muscle
N8_B001226.gencode.vH29	Airway Smooth Muscle
N9_B001235.gencode.vH29	Airway Smooth Muscle
N9_B001239.gencode.vH29	Airway Smooth Muscle
O10_B001235.gencode.vH29	Airway Smooth Muscle
O10_B001239.gencode.vH29	Airway Smooth Muscle
O11_B001223.gencode.vH29	Airway Smooth Muscle
O11_B001225.gencode.vH29	Airway Smooth Muscle
O12_B001225.gencode.vH29	Airway Smooth Muscle
O14_B001239.gencode.vH29	Airway Smooth Muscle
O16_B001223.gencode.vH29	Airway Smooth Muscle
O18_B001237.gencode.vH29	Airway Smooth Muscle
O19_B001225.gencode.vH29	Airway Smooth Muscle
O19_B001239.gencode.vH29	Airway Smooth Muscle
O21_B001234.gencode.vH29	Airway Smooth Muscle
O21_B001235.gencode.vH29	Airway Smooth Muscle
O22_B001223.gencode.vH29	Airway Smooth Muscle
O4_B001234.gencode.vH29	Airway Smooth Muscle
O4_B001235.gencode.vH29	Airway Smooth Muscle
O6_B001224.gencode.vH29	Airway Smooth Muscle
P10_B001235.gencode.vH29	Airway Smooth Muscle
P10_B001237.gencode.vH29	Airway Smooth Muscle
P11_B001235.gencode.vH29	Airway Smooth Muscle
P12_B001234.gencode.vH29	Airway Smooth Muscle
P13_B001237.gencode.vH29	Airway Smooth Muscle
P13_B001239.gencode.vH29	Airway Smooth Muscle
P15_B001235.gencode.vH29	Airway Smooth Muscle
P17_B001239.gencode.vH29	Airway Smooth Muscle
P18_B001225.gencode.vH29	Airway Smooth Muscle
P18_B001235.gencode.vH29	Airway Smooth Muscle
P19_B001224.gencode.vH29	Airway Smooth Muscle
P2_B001223.gencode.vH29	Airway Smooth Muscle
P21_B001234.gencode.vH29	Airway Smooth Muscle
P22_B001239.gencode.vH29	Airway Smooth Muscle
P5_B002578.gencode.vH29	Airway Smooth Muscle
P7_B001235.gencode.vH29	Airway Smooth Muscle
P9_B001224.gencode.vH29	Airway Smooth Muscle
P9_B001235.gencode.vH29	Airway Smooth Muscle
C13_B001225.gencode.vH29	Airway Smooth Muscle
E12_B001237.gencode.vH29	Airway Smooth Muscle
H2_B001223.gencode.vH29	Airway Smooth Muscle
J19_B001237.gencode.vH29	Airway Smooth Muscle
O5_B001224.gencode.vH29	Airway Smooth Muscle
L17_B001225.gencode.vH29	Airway Smooth Muscle
N5_B001222.gencode.vH29	Airway Smooth Muscle
A1_B001239.gencode.vH29	Vascular Smooth Muscle
A10_B001234.gencode.vH29	Vascular Smooth Muscle
A17_B001223.gencode.vH29	Vascular Smooth Muscle
A18_B001225.gencode.vH29	Vascular Smooth Muscle
A2_B002580.gencode.vH29	Vascular Smooth Muscle
A20_B001224.gencode.vH29	Vascular Smooth Muscle
A5_B002578.gencode.vH29	Vascular Smooth Muscle
A7_B001237.gencode.vH29	Vascular Smooth Muscle
A7_B002579.gencode.vH29	Vascular Smooth Muscle
A8_B002578.gencode.vH29	Vascular Smooth Muscle
A9_B001229.gencode.vH29	Vascular Smooth Muscle
B12_B001237.gencode.vH29	Vascular Smooth Muscle
B16_B001239.gencode.vH29	Vascular Smooth Muscle
B2_B001224.gencode.vH29	Vascular Smooth Muscle
B20_B001225.gencode.vH29	Vascular Smooth Muscle
B20_B001235.gencode.vH29	Vascular Smooth Muscle
B5_B001234.gencode.vH29	Vascular Smooth Muscle
B7_B001223.gencode.vH29	Vascular Smooth Muscle
B7_B001237.gencode.vH29	Vascular Smooth Muscle
C10_B001225.gencode.vH29	Vascular Smooth Muscle
C10_B002579.gencode.vH29	Vascular Smooth Muscle
C11_B001223.gencode.vH29	Vascular Smooth Muscle
C13_B001223.gencode.vH29	Vascular Smooth Muscle
C17_B001224.gencode.vH29	Vascular Smooth Muscle
C20_B001224.gencode.vH29	Vascular Smooth Muscle
C8_B001229.gencode.vH29	Vascular Smooth Muscle
C8_B001237.gencode.vH29	Vascular Smooth Muscle
C9_B001223.gencode.vH29	Vascular Smooth Muscle
D11_B002578.gencode.vH29	Vascular Smooth Muscle
D15_B001235.gencode.vH29	Vascular Smooth Muscle
D22_B001234.gencode.vH29	Vascular Smooth Muscle
D3_B001224.gencode.vH29	Vascular Smooth Muscle
D9_B001229.gencode.vH29	Vascular Smooth Muscle
E1_B001227.gencode.vH29	Vascular Smooth Muscle
E12_B001223.gencode.vH29	Vascular Smooth Muscle
E17_B001239.gencode.vH29	Vascular Smooth Muscle
E3_B001226.gencode.vH29	Vascular Smooth Muscle
E9_B001237.gencode.vH29	Vascular Smooth Muscle
F10_B001223.gencode.vH29	Vascular Smooth Muscle
F11_B001224.gencode.vH29	Vascular Smooth Muscle
F12_B001223.gencode.vH29	Vascular Smooth Muscle
F12_B001224.gencode.vH29	Vascular Smooth Muscle
F13_B001239.gencode.vH29	Vascular Smooth Muscle
F18_B001235.gencode.vH29	Vascular Smooth Muscle
F2_B001227.gencode.vH29	Vascular Smooth Muscle
F4_B001223.gencode.vH29	Vascular Smooth Muscle
F7_B001225.gencode.vH29	Vascular Smooth Muscle
F8_B001227.gencode.vH29	Vascular Smooth Muscle
G1_B001225.gencode.vH29	Vascular Smooth Muscle
G11_B001225.gencode.vH29	Vascular Smooth Muscle
G16_B001234.gencode.vH29	Vascular Smooth Muscle
G9_B001225.gencode.vH29	Vascular Smooth Muscle
H15_B001224.gencode.vH29	Vascular Smooth Muscle
H19_B001223.gencode.vH29	Vascular Smooth Muscle
H3_B001224.gencode.vH29	Vascular Smooth Muscle
H3_B001225.gencode.vH29	Vascular Smooth Muscle
H4_B001237.gencode.vH29	Vascular Smooth Muscle
I1_B001223.gencode.vH29	Vascular Smooth Muscle
I18_B001237.gencode.vH29	Vascular Smooth Muscle
I22_B001234.gencode.vH29	Vascular Smooth Muscle
I22_B001237.gencode.vH29	Vascular Smooth Muscle
I8_B001224.gencode.vH29	Vascular Smooth Muscle
J13_B001224.gencode.vH29	Vascular Smooth Muscle
J2_B001227.gencode.vH29	Vascular Smooth Muscle
J5_B001224.gencode.vH29	Vascular Smooth Muscle
J7_B001224.gencode.vH29	Vascular Smooth Muscle
K10_B001234.gencode.vH29	Vascular Smooth Muscle
K18_B001225.gencode.vH29	Vascular Smooth Muscle
K19_B001235.gencode.vH29	Vascular Smooth Muscle
K22_B001235.gencode.vH29	Vascular Smooth Muscle
K22_B001237.gencode.vH29	Vascular Smooth Muscle
K9_B001223.gencode.vH29	Vascular Smooth Muscle
L1_B001223.gencode.vH29	Vascular Smooth Muscle
L10_B001235.gencode.vH29	Vascular Smooth Muscle
L12_B001235.gencode.vH29	Vascular Smooth Muscle
L18_B001237.gencode.vH29	Vascular Smooth Muscle
M1_B001234.gencode.vH29	Vascular Smooth Muscle
M11_B001237.gencode.vH29	Vascular Smooth Muscle
M13_B001234.gencode.vH29	Vascular Smooth Muscle
M14_B001225.gencode.vH29	Vascular Smooth Muscle
M17_B001225.gencode.vH29	Vascular Smooth Muscle
M18_B001225.gencode.vH29	Vascular Smooth Muscle
M19_B001234.gencode.vH29	Vascular Smooth Muscle
M3_B001227.gencode.vH29	Vascular Smooth Muscle
M3_B002579.gencode.vH29	Vascular Smooth Muscle
M4_B001225.gencode.vH29	Vascular Smooth Muscle
M4_B001234.gencode.vH29	Vascular Smooth Muscle
M7_B001235.gencode.vH29	Vascular Smooth Muscle
N10_B001235.gencode.vH29	Vascular Smooth Muscle
N7_B001224.gencode.vH29	Vascular Smooth Muscle
N8_B001239.gencode.vH29	Vascular Smooth Muscle
O13_B001224.gencode.vH29	Vascular Smooth Muscle
O14_B001235.gencode.vH29	Vascular Smooth Muscle
O2_B001229.gencode.vH29	Vascular Smooth Muscle
O3_B001239.gencode.vH29	Vascular Smooth Muscle
P20_B001223.gencode.vH29	Vascular Smooth Muscle
P4_B001239.gencode.vH29	Vascular Smooth Muscle
P5_B001238.gencode.vH29	Vascular Smooth Muscle
P7_B002580.gencode.vH29	Vascular Smooth Muscle
A5_B001234.gencode.vH29	Vascular Smooth Muscle
C14_B001239.gencode.vH29	Vascular Smooth Muscle
F21_B001239.gencode.vH29	Vascular Smooth Muscle
I12_B001223.gencode.vH29	Vascular Smooth Muscle
N18_B001235.gencode.vH29	Vascular Smooth Muscle
A1_B002579.gencode.vH29	Vascular Smooth Muscle
A22_B001235.gencode.vH29	Vascular Smooth Muscle
C2_B001235.gencode.vH29	Vascular Smooth Muscle
D4_B002592.gencode.vH29	Vascular Smooth Muscle
E9_B001223.gencode.vH29	Vascular Smooth Muscle
H10_B001224.gencode.vH29	Vascular Smooth Muscle
H19_B001237.gencode.vH29	Vascular Smooth Muscle
M14_B001239.gencode.vH29	Vascular Smooth Muscle
M3_B001237.gencode.vH29	Vascular Smooth Muscle
P6_B001223.gencode.vH29	Vascular Smooth Muscle
E14_B001239.gencode.vH29	Pericyte
P19_B001239.gencode.vH29	Pericyte
A10_B001239.gencode.vH29	Pericyte
A18_B001239.gencode.vH29	Pericyte
A3_B001228.gencode.vH29	Pericyte
A7_B001228.gencode.vH29	Pericyte
B1_B001224.gencode.vH29	Pericyte
B11_B002578.gencode.vH29	Pericyte
B3_B001229.gencode.vH29	Pericyte
B4_B001229.gencode.vH29	Pericyte
B6_B001237.gencode.vH29	Pericyte
B6_B002580.gencode.vH29	Pericyte
B7_B001228.gencode.vH29	Pericyte
B9_B002579.gencode.vH29	Pericyte
C2_B001225.gencode.vH29	Pericyte
C4_B002580.gencode.vH29	Pericyte
C8_B001239.gencode.vH29	Pericyte
D10_B001239.gencode.vH29	Pericyte
D3_B002579.gencode.vH29	Pericyte
E1_B001229.gencode.vH29	Pericyte
E18_B001223.gencode.vH29	Pericyte
E7_B002579.gencode.vH29	Pericyte
E8_B001228.gencode.vH29	Pericyte
F1_B002580.gencode.vH29	Pericyte
F17_B001239.gencode.vH29	Pericyte
F18_B001225.gencode.vH29	Pericyte
F18_B001239.gencode.vH29	Pericyte
F5_B002580.gencode.vH29	Pericyte
F7_B001224.gencode.vH29	Pericyte
F9_B002579.gencode.vH29	Pericyte
G6_B002580.gencode.vH29	Pericyte
H4_B001226.gencode.vH29	Pericyte
H5_B002579.gencode.vH29	Pericyte
I3_B001228.gencode.vH29	Pericyte
I7_B001229.gencode.vH29	Pericyte
J3_B001226.gencode.vH29	Pericyte
J7_B001226.gencode.vH29	Pericyte
K2_B001228.gencode.vH29	Pericyte
K3_B001228.gencode.vH29	Pericyte
K5_B002579.gencode.vH29	Pericyte
K5_B002580.gencode.vH29	Pericyte
K6_B001223.gencode.vH29	Pericyte
K6_B001226.gencode.vH29	Pericyte
L1_B001228.gencode.vH29	Pericyte
L11_B002578.gencode.vH29	Pericyte
L3_B001224.gencode.vH29	Pericyte
L3_B001226.gencode.vH29	Pericyte
L4_B002591.gencode.vH29	Pericyte
L6_B001239.gencode.vH29	Pericyte
L7_B002579.gencode.vH29	Pericyte
L8_B001229.gencode.vH29	Pericyte
M16_B002580.gencode.vH29	Pericyte
M5_B001225.gencode.vH29	Pericyte
M6_B001228.gencode.vH29	Pericyte
M9_B002578.gencode.vH29	Pericyte
N16_B001225.gencode.vH29	Pericyte
N2_B001226.gencode.vH29	Pericyte
N4_B001239.gencode.vH29	Pericyte
O11_B002578.gencode.vH29	Pericyte
O2_B002580.gencode.vH29	Pericyte
O20_B001223.gencode.vH29	Pericyte
O4_B002593.gencode.vH29	Pericyte
O5_B001228.gencode.vH29	Pericyte
O6_B001227.gencode.vH29	Pericyte
O6_B001228.gencode.vH29	Pericyte
O8_B001228.gencode.vH29	Pericyte
O8_B001229.gencode.vH29	Pericyte
P17_B001224.gencode.vH29	Pericyte
P2_B001229.gencode.vH29	Pericyte
P2_B002579.gencode.vH29	Pericyte
P4_B001238.gencode.vH29	Pericyte
P4_B002578.gencode.vH29	Pericyte
P6_B001234.gencode.vH29	Pericyte
B10_B002579.gencode.vH29	Alveolar Epithelial Type 1
B19_B001234.gencode.vH29	Alveolar Epithelial Type 1
C8_B001234.gencode.vH29	Alveolar Epithelial Type 1
D2_B001228.gencode.vH29	Alveolar Epithelial Type 1
D6_B001235.gencode.vH29	Alveolar Epithelial Type 1
E10_B001234.gencode.vH29	Alveolar Epithelial Type 1
E19_B001239.gencode.vH29	Alveolar Epithelial Type 1
F3_B001234.gencode.vH29	Alveolar Epithelial Type 1
G16_B001237.gencode.vH29	Alveolar Epithelial Type 1
H3_B001234.gencode.vH29	Alveolar Epithelial Type 1
I20_B001225.gencode.vH29	Alveolar Epithelial Type 1
K6_B001235.gencode.vH29	Alveolar Epithelial Type 1
L6_B001225.gencode.vH29	Alveolar Epithelial Type 1
N2_B001225.gencode.vH29	Alveolar Epithelial Type 1
N21_B001239.gencode.vH29	Alveolar Epithelial Type 1
N4_B001237.gencode.vH29	Alveolar Epithelial Type 1
O9_B001239.gencode.vH29	Alveolar Epithelial Type 1
P1_B001222.gencode.vH29	Alveolar Epithelial Type 1
C16_B001237.gencode.vH29	Alveolar Epithelial Type 1
A12_B001224.gencode.vH29	Alveolar Epithelial Type 1
A12_B001225.gencode.vH29	Alveolar Epithelial Type 1
A12_B001239.gencode.vH29	Alveolar Epithelial Type 1
A20_B001237.gencode.vH29	Alveolar Epithelial Type 1
A21_B001225.gencode.vH29	Alveolar Epithelial Type 1
A7_B001224.gencode.vH29	Alveolar Epithelial Type 1
B17_B001224.gencode.vH29	Alveolar Epithelial Type 1
B18_B001237.gencode.vH29	Alveolar Epithelial Type 1
B7_B001235.gencode.vH29	Alveolar Epithelial Type 1
B9_B001225.gencode.vH29	Alveolar Epithelial Type 1
C1_B001222.gencode.vH29	Alveolar Epithelial Type 1
C1_B001225.gencode.vH29	Alveolar Epithelial Type 1
C1_B001234.gencode.vH29	Alveolar Epithelial Type 1
C15_B001222.gencode.vH29	Alveolar Epithelial Type 1
C19_B001223.gencode.vH29	Alveolar Epithelial Type 1
C4_B001239.gencode.vH29	Alveolar Epithelial Type 1
C6_B002580.gencode.vH29	Alveolar Epithelial Type 1
C7_B001234.gencode.vH29	Alveolar Epithelial Type 1
D12_B001222.gencode.vH29	Alveolar Epithelial Type 1
D22_B001223.gencode.vH29	Alveolar Epithelial Type 1
D22_B001235.gencode.vH29	Alveolar Epithelial Type 1
D5_B002579.gencode.vH29	Alveolar Epithelial Type 1
E1_B001223.gencode.vH29	Alveolar Epithelial Type 1
E11_B001235.gencode.vH29	Alveolar Epithelial Type 1
E14_B001234.gencode.vH29	Alveolar Epithelial Type 1
E3_B001224.gencode.vH29	Alveolar Epithelial Type 1
F16_B001239.gencode.vH29	Alveolar Epithelial Type 1
F19_B001223.gencode.vH29	Alveolar Epithelial Type 1
F20_B001237.gencode.vH29	Alveolar Epithelial Type 1
F5_B001235.gencode.vH29	Alveolar Epithelial Type 1
F6_B002578.gencode.vH29	Alveolar Epithelial Type 1
G10_B001222.gencode.vH29	Alveolar Epithelial Type 1
G15_B001222.gencode.vH29	Alveolar Epithelial Type 1
G20_B001239.gencode.vH29	Alveolar Epithelial Type 1
G5_B001239.gencode.vH29	Alveolar Epithelial Type 1
G9_B001224.gencode.vH29	Alveolar Epithelial Type 1
H22_B001234.gencode.vH29	Alveolar Epithelial Type 1
H3_B001222.gencode.vH29	Alveolar Epithelial Type 1
H3_B001239.gencode.vH29	Alveolar Epithelial Type 1
H4_B001234.gencode.vH29	Alveolar Epithelial Type 1
H5_B001235.gencode.vH29	Alveolar Epithelial Type 1
H6_B001234.gencode.vH29	Alveolar Epithelial Type 1
H6_B001235.gencode.vH29	Alveolar Epithelial Type 1
H7_B001239.gencode.vH29	Alveolar Epithelial Type 1
I1_B001222.gencode.vH29	Alveolar Epithelial Type 1
I12_B001235.gencode.vH29	Alveolar Epithelial Type 1
I18_B001235.gencode.vH29	Alveolar Epithelial Type 1
I4_B001235.gencode.vH29	Alveolar Epithelial Type 1
I7_B001224.gencode.vH29	Alveolar Epithelial Type 1
I9_B001237.gencode.vH29	Alveolar Epithelial Type 1
J1_B001223.gencode.vH29	Alveolar Epithelial Type 1
J18_B001235.gencode.vH29	Alveolar Epithelial Type 1
J19_B001235.gencode.vH29	Alveolar Epithelial Type 1
J3_B001237.gencode.vH29	Alveolar Epithelial Type 1
J5_B001223.gencode.vH29	Alveolar Epithelial Type 1
K18_B001237.gencode.vH29	Alveolar Epithelial Type 1
K20_B001237.gencode.vH29	Alveolar Epithelial Type 1
K3_B001239.gencode.vH29	Alveolar Epithelial Type 1
L19_B001234.gencode.vH29	Alveolar Epithelial Type 1
L2_B001222.gencode.vH29	Alveolar Epithelial Type 1
L2_B001225.gencode.vH29	Alveolar Epithelial Type 1
L22_B001237.gencode.vH29	Alveolar Epithelial Type 1
L8_B001224.gencode.vH29	Alveolar Epithelial Type 1
M9_B001224.gencode.vH29	Alveolar Epithelial Type 1
N14_B001235.gencode.vH29	Alveolar Epithelial Type 1
N20_B001237.gencode.vH29	Alveolar Epithelial Type 1
N22_B001234.gencode.vH29	Alveolar Epithelial Type 1
N5_B001237.gencode.vH29	Alveolar Epithelial Type 1
N8_B001235.gencode.vH29	Alveolar Epithelial Type 1
O14_B001237.gencode.vH29	Alveolar Epithelial Type 1
O15_B001237.gencode.vH29	Alveolar Epithelial Type 1
O17_B001237.gencode.vH29	Alveolar Epithelial Type 1
O18_B001234.gencode.vH29	Alveolar Epithelial Type 1
O21_B001223.gencode.vH29	Alveolar Epithelial Type 1
O5_B001222.gencode.vH29	Alveolar Epithelial Type 1
O5_B002579.gencode.vH29	Alveolar Epithelial Type 1
O9_B001225.gencode.vH29	Alveolar Epithelial Type 1
O9_B001234.gencode.vH29	Alveolar Epithelial Type 1
O9_B001235.gencode.vH29	Alveolar Epithelial Type 1
P11_B001239.gencode.vH29	Alveolar Epithelial Type 1
P15_B001234.gencode.vH29	Alveolar Epithelial Type 1
P2_B001237.gencode.vH29	Alveolar Epithelial Type 1
A11_B002578.gencode.vH29	Alveolar Fibroblast
A14_B001234.gencode.vH29	Alveolar Fibroblast
A15_B001237.gencode.vH29	Alveolar Fibroblast
A4_B001229.gencode.vH29	Alveolar Fibroblast
A6_B001239.gencode.vH29	Alveolar Fibroblast
A8_B001229.gencode.vH29	Alveolar Fibroblast
B1_B001235.gencode.vH29	Alveolar Fibroblast
B1_B002591.gencode.vH29	Alveolar Fibroblast
B15_B001237.gencode.vH29	Alveolar Fibroblast
B2_B001226.gencode.vH29	Alveolar Fibroblast
B22_B001234.gencode.vH29	Alveolar Fibroblast
B4_B001234.gencode.vH29	Alveolar Fibroblast
C19_B001224.gencode.vH29	Alveolar Fibroblast
C2_B002580.gencode.vH29	Alveolar Fibroblast
C21_B001239.gencode.vH29	Alveolar Fibroblast
C4_B001235.gencode.vH29	Alveolar Fibroblast
C4_B002579.gencode.vH29	Alveolar Fibroblast
C7_B002580.gencode.vH29	Alveolar Fibroblast
C9_B002580.gencode.vH29	Alveolar Fibroblast
D1_B002579.gencode.vH29	Alveolar Fibroblast
D14_B001239.gencode.vH29	Alveolar Fibroblast
D21_B001239.gencode.vH29	Alveolar Fibroblast
D6_B001239.gencode.vH29	Alveolar Fibroblast
E10_B001224.gencode.vH29	Alveolar Fibroblast
E3_B001235.gencode.vH29	Alveolar Fibroblast
E7_B001223.gencode.vH29	Alveolar Fibroblast
E7_B001228.gencode.vH29	Alveolar Fibroblast
F1_B001226.gencode.vH29	Alveolar Fibroblast
F12_B001239.gencode.vH29	Alveolar Fibroblast
F21_B001224.gencode.vH29	Alveolar Fibroblast
F5_B001239.gencode.vH29	Alveolar Fibroblast
F6_B001226.gencode.vH29	Alveolar Fibroblast
F9_B001235.gencode.vH29	Alveolar Fibroblast
G14_B001223.gencode.vH29	Alveolar Fibroblast
G3_B002578.gencode.vH29	Alveolar Fibroblast
G4_B001222.gencode.vH29	Alveolar Fibroblast
G5_B001235.gencode.vH29	Alveolar Fibroblast
G8_B002578.gencode.vH29	Alveolar Fibroblast
G8_B002579.gencode.vH29	Alveolar Fibroblast
G9_B001234.gencode.vH29	Alveolar Fibroblast
I11_B002579.gencode.vH29	Alveolar Fibroblast
I15_B001223.gencode.vH29	Alveolar Fibroblast
I21_B001237.gencode.vH29	Alveolar Fibroblast
I3_B001229.gencode.vH29	Alveolar Fibroblast
I3_B001239.gencode.vH29	Alveolar Fibroblast
I5_B002578.gencode.vH29	Alveolar Fibroblast
J12_B001222.gencode.vH29	Alveolar Fibroblast
J15_B001224.gencode.vH29	Alveolar Fibroblast
J15_B001235.gencode.vH29	Alveolar Fibroblast
J2_B002579.gencode.vH29	Alveolar Fibroblast
J4_B001229.gencode.vH29	Alveolar Fibroblast
J6_B002579.gencode.vH29	Alveolar Fibroblast
K1_B001227.gencode.vH29	Alveolar Fibroblast
K11_B001224.gencode.vH29	Alveolar Fibroblast
K11_B001238.gencode.vH29	Alveolar Fibroblast
K20_B001224.gencode.vH29	Alveolar Fibroblast
K4_B001239.gencode.vH29	Alveolar Fibroblast
K8_B002579.gencode.vH29	Alveolar Fibroblast
L1_B001239.gencode.vH29	Alveolar Fibroblast
L14_B001223.gencode.vH29	Alveolar Fibroblast
L16_B001224.gencode.vH29	Alveolar Fibroblast
L6_B001224.gencode.vH29	Alveolar Fibroblast
L8_B001226.gencode.vH29	Alveolar Fibroblast
L9_B001226.gencode.vH29	Alveolar Fibroblast
M11_B002593.gencode.vH29	Alveolar Fibroblast
M12_B001224.gencode.vH29	Alveolar Fibroblast
M8_B001228.gencode.vH29	Alveolar Fibroblast
N2_B001235.gencode.vH29	Alveolar Fibroblast
N21_B001225.gencode.vH29	Alveolar Fibroblast
N5_B001239.gencode.vH29	Alveolar Fibroblast
N7_B001226.gencode.vH29	Alveolar Fibroblast
N8_B002579.gencode.vH29	Alveolar Fibroblast
N9_B002579.gencode.vH29	Alveolar Fibroblast
P13_B001224.gencode.vH29	Alveolar Fibroblast
P14_B001234.gencode.vH29	Alveolar Fibroblast
P16_B001239.gencode.vH29	Alveolar Fibroblast
P2_B001239.gencode.vH29	Alveolar Fibroblast
P3_B001239.gencode.vH29	Alveolar Fibroblast
P5_B002586.gencode.vH29	Alveolar Fibroblast
P8_B002579.gencode.vH29	Alveolar Fibroblast
C2_B002586.gencode.vH29	Adventitial Fibroblast
G5_B001226.gencode.vH29	Adventitial Fibroblast
K4_B001223.gencode.vH29	Adventitial Fibroblast
A11_B002580.gencode.vH29	Adventitial Fibroblast
A2_B001225.gencode.vH29	Adventitial Fibroblast
B11_B002580.gencode.vH29	Adventitial Fibroblast
B18_B001225.gencode.vH29	Adventitial Fibroblast
B21_B001223.gencode.vH29	Adventitial Fibroblast
C10_B001224.gencode.vH29	Adventitial Fibroblast
C20_B001235.gencode.vH29	Adventitial Fibroblast
C5_B001225.gencode.vH29	Adventitial Fibroblast
C6_B002586.gencode.vH29	Adventitial Fibroblast
D1_B001225.gencode.vH29	Adventitial Fibroblast
D11_B002592.gencode.vH29	Adventitial Fibroblast
D3_B001223.gencode.vH29	Adventitial Fibroblast
D5_B002578.gencode.vH29	Adventitial Fibroblast
D8_B001223.gencode.vH29	Adventitial Fibroblast
D8_B001239.gencode.vH29	Adventitial Fibroblast
E6_B002580.gencode.vH29	Adventitial Fibroblast
E8_B001223.gencode.vH29	Adventitial Fibroblast
E9_B001227.gencode.vH29	Adventitial Fibroblast
F22_B001225.gencode.vH29	Adventitial Fibroblast
F9_B001223.gencode.vH29	Adventitial Fibroblast
F9_B001227.gencode.vH29	Adventitial Fibroblast
G2_B001229.gencode.vH29	Adventitial Fibroblast
G4_B002580.gencode.vH29	Adventitial Fibroblast
G6_B001225.gencode.vH29	Adventitial Fibroblast
I13_B001223.gencode.vH29	Adventitial Fibroblast
I2_B001239.gencode.vH29	Adventitial Fibroblast
I4_B001229.gencode.vH29	Adventitial Fibroblast
J11_B002579.gencode.vH29	Adventitial Fibroblast
K1_B001226.gencode.vH29	Adventitial Fibroblast
K12_B001224.gencode.vH29	Adventitial Fibroblast
K5_B001227.gencode.vH29	Adventitial Fibroblast
K6_B002593.gencode.vH29	Adventitial Fibroblast
L11_B001225.gencode.vH29	Adventitial Fibroblast
L11_B002579.gencode.vH29	Adventitial Fibroblast
L11_B002586.gencode.vH29	Adventitial Fibroblast
L2_B001227.gencode.vH29	Adventitial Fibroblast
L7_B002580.gencode.vH29	Adventitial Fibroblast
M11_B001229.gencode.vH29	Adventitial Fibroblast
M13_B001239.gencode.vH29	Adventitial Fibroblast
M3_B002593.gencode.vH29	Adventitial Fibroblast
M4_B001227.gencode.vH29	Adventitial Fibroblast
N13_B001225.gencode.vH29	Adventitial Fibroblast
N2_B001239.gencode.vH29	Adventitial Fibroblast
N5_B001229.gencode.vH29	Adventitial Fibroblast
O12_B001223.gencode.vH29	Adventitial Fibroblast
O15_B001223.gencode.vH29	Adventitial Fibroblast
O16_B001239.gencode.vH29	Adventitial Fibroblast
O17_B001224.gencode.vH29	Adventitial Fibroblast
O4_B002586.gencode.vH29	Adventitial Fibroblast
P10_B001228.gencode.vH29	Adventitial Fibroblast
P4_B001223.gencode.vH29	Adventitial Fibroblast
N20_B001238.gencode.vH29	Neutrophil
A12_B002592.gencode.vH29	Neutrophil
P1_B001234.gencode.vH29	Neutrophil
A13_B002591.gencode.vH29	Neutrophil
A13_B002593.gencode.vH29	Neutrophil
A15_B002580.gencode.vH29	Neutrophil
A19_B001228.gencode.vH29	Neutrophil
A19_B002579.gencode.vH29	Neutrophil
A3_BP1_wbc.gencode.vH29	Neutrophil
B12_B002579.gencode.vH29	Neutrophil
B15_B002591.gencode.vH29	Neutrophil
B17_B002580.gencode.vH29	Neutrophil
B21_B002593.gencode.vH29	Neutrophil
C12_B002578.gencode.vH29	Neutrophil
C16_B002593.gencode.vH29	Neutrophil
C19_B001238.gencode.vH29	Neutrophil
C20_B002593.gencode.vH29	Neutrophil
C22_B002580.gencode.vH29	Neutrophil
C22_B002593.gencode.vH29	Neutrophil
C9_BP3.gencode.vH29	Neutrophil
D13_B002592.gencode.vH29	Neutrophil
D17_B002592.gencode.vH29	Neutrophil
D19_B002579.gencode.vH29	Neutrophil
D19_B002586.gencode.vH29	Neutrophil
