Cell	cell_type
B10_B003136.gencode.vH29	Ciliated
B11_B003136.gencode.vH29	Ciliated
B12_B002382.gencode.vH29	Ciliated
B12_B003142.gencode.vH29	Ciliated
B2_B003141.gencode.vH29	Ciliated
B3_B003138.gencode.vH29	Ciliated
B4_B003141.gencode.vH29	Ciliated
B5_B002385.gencode.vH29	Ciliated
B5_B003138.gencode.vH29	Ciliated
B5_B003142.gencode.vH29	Ciliated
B6_B003135.gencode.vH29	Ciliated
B7_B003138.gencode.vH29	Ciliated
B8_B003138.gencode.vH29	Ciliated
B9_B003135.gencode.vH29	Ciliated
C1_B002386.gencode.vH29	Ciliated
C2_B003142.gencode.vH29	Ciliated
C3_B002383.gencode.vH29	Ciliated
C3_B003141.gencode.vH29	Ciliated
C4_B003140.gencode.vH29	Ciliated
C5_B003136.gencode.vH29	Ciliated
C6_B002383.gencode.vH29	Ciliated
C6_B003135.gencode.vH29	Ciliated
C7_B002014.gencode.vH29	Ciliated
C8_B003136.gencode.vH29	Ciliated
D1_B002383.gencode.vH29	Ciliated
D11_B002385.gencode.vH29	Ciliated
D12_B003137.gencode.vH29	Ciliated
D13_B003141.gencode.vH29	Ciliated
D13_B003142.gencode.vH29	Ciliated
D3_B002385.gencode.vH29	Ciliated
D3_B003142.gencode.vH29	Club
D5_B003141.gencode.vH29	Ciliated
D6_B002383.gencode.vH29	Ciliated
D7_B002385.gencode.vH29	Ciliated
D7_B002386.gencode.vH29	Ciliated
D8_B003137.gencode.vH29	Ciliated
D9_B002382.gencode.vH29	Ciliated
D9_B003139.gencode.vH29	Ciliated
D9_B003141.gencode.vH29	Ciliated
E10_B002383.gencode.vH29	Ciliated
E10_B003141.gencode.vH29	Ciliated
E11_B003135.gencode.vH29	Ciliated
E12_B002386.gencode.vH29	Ciliated
E12_B003135.gencode.vH29	Ciliated
E13_B002382.gencode.vH29	Ciliated
E13_B003136.gencode.vH29	Ciliated
E2_B002383.gencode.vH29	Ciliated
E3_B002385.gencode.vH29	Ciliated
E3_B003137.gencode.vH29	Ciliated
E4_B002383.gencode.vH29	Ciliated
E4_B002385.gencode.vH29	Ciliated
E4_B002386.gencode.vH29	Ciliated
E6_B003137.gencode.vH29	Ciliated
E9_B002382.gencode.vH29	Ciliated
E9_B003136.gencode.vH29	Ciliated
F1_B003135.gencode.vH29	Ciliated
F1_B003137.gencode.vH29	Ciliated
F11_B003140.gencode.vH29	Ciliated
F12_B002386.gencode.vH29	Ciliated
F12_B003141.gencode.vH29	Ciliated
F13_B003135.gencode.vH29	Ciliated
F3_B002385.gencode.vH29	Ciliated
F3_B003142.gencode.vH29	Ciliated
F4_B002382.gencode.vH29	Ciliated
F5_B003135.gencode.vH29	Ciliated
F5_B003137.gencode.vH29	Ciliated
F6_B003135.gencode.vH29	Ciliated
F6_B003141.gencode.vH29	Ciliated
F6_B003142.gencode.vH29	Ciliated
F8_B003136.gencode.vH29	Ciliated
G1_B002382.gencode.vH29	Ciliated
G1_B003138.gencode.vH29	Ciliated
G1_B003140.gencode.vH29	Ciliated
G10_B003141.gencode.vH29	Ciliated
G2_B003142.gencode.vH29	Ciliated
G3_B002386.gencode.vH29	Ciliated
G3_B003136.gencode.vH29	Ciliated
G3_B003137.gencode.vH29	Ciliated
G4_B002385.gencode.vH29	Ciliated
G4_B003136.gencode.vH29	Ciliated
G4_B003137.gencode.vH29	Ciliated
G5_B002382.gencode.vH29	Ciliated
G5_B003140.gencode.vH29	Ciliated
G5_B003141.gencode.vH29	Ciliated
G6_B003135.gencode.vH29	Ciliated
G7_B002382.gencode.vH29	Ciliated
G7_B002386.gencode.vH29	Ciliated
G7_B003136.gencode.vH29	Ciliated
G8_B002382.gencode.vH29	Ciliated
G8_B002385.gencode.vH29	Ciliated
G9_B003142.gencode.vH29	Ciliated
H1_B003136.gencode.vH29	Ciliated
H10_B002386.gencode.vH29	Ciliated
H10_B003136.gencode.vH29	Ciliated
H11_B002385.gencode.vH29	Ciliated
H11_B002386.gencode.vH29	Ciliated
H11_B003136.gencode.vH29	Ciliated
H11_B003137.gencode.vH29	Ciliated
H12_B003142.gencode.vH29	Ciliated
H2_B003140.gencode.vH29	Ciliated
H3_B003142.gencode.vH29	Ciliated
H4_B002385.gencode.vH29	Ciliated
H5_B003137.gencode.vH29	Ciliated
H6_B002382.gencode.vH29	Ciliated
H6_B002386.gencode.vH29	Ciliated
H6_B003137.gencode.vH29	Ciliated
H9_B003138.gencode.vH29	Ciliated
H9_B003140.gencode.vH29	Ciliated
H9_B003141.gencode.vH29	Ciliated
H9_B003142.gencode.vH29	Ciliated
I1_B003137.gencode.vH29	Ciliated
I1_B003138.gencode.vH29	Ciliated
I1_B003140.gencode.vH29	Ciliated
I10_B003136.gencode.vH29	Ciliated
I10_B003140.gencode.vH29	Ciliated
I11_B003140.gencode.vH29	Ciliated
I13_B003137.gencode.vH29	Ciliated
I2_B003140.gencode.vH29	Ciliated
I2_B003142.gencode.vH29	Ciliated
I4_B003137.gencode.vH29	Ciliated
I8_B003142.gencode.vH29	Ciliated
I9_B002385.gencode.vH29	Ciliated
J1_B002382.gencode.vH29	Ciliated
J11_B003137.gencode.vH29	Ciliated
J12_B003136.gencode.vH29	Ciliated
J13_B003136.gencode.vH29	Ciliated
J3_B002386.gencode.vH29	Ciliated
J3_B003135.gencode.vH29	Ciliated
J3_B003140.gencode.vH29	Ciliated
J4_B003137.gencode.vH29	Ciliated
J5_B003136.gencode.vH29	Ciliated
J6_B002383.gencode.vH29	Ciliated
J6_B003141.gencode.vH29	Ciliated
J7_B003141.gencode.vH29	Ciliated
J7_B003142.gencode.vH29	Ciliated
J8_B003137.gencode.vH29	Ciliated
K10_B002382.gencode.vH29	Ciliated
K10_B003136.gencode.vH29	Ciliated
K11_B003137.gencode.vH29	Ciliated
K11_B003142.gencode.vH29	Ciliated
K12_B003135.gencode.vH29	Ciliated
K2_B002385.gencode.vH29	Ciliated
K3_B002382.gencode.vH29	Ciliated
K5_B003138.gencode.vH29	Ciliated
K5_B003142.gencode.vH29	Ciliated
K6_B002386.gencode.vH29	Ciliated
K7_B003142.gencode.vH29	Ciliated
K8_B003135.gencode.vH29	Ciliated
K9_B002382.gencode.vH29	Ciliated
L1_B002014.gencode.vH29	Ciliated
L1_B003141.gencode.vH29	Ciliated
L10_B003135.gencode.vH29	Ciliated
L10_B003140.gencode.vH29	Ciliated
L10_B003142.gencode.vH29	Ciliated
L2_B002382.gencode.vH29	Ciliated
L2_B002385.gencode.vH29	Ciliated
L2_B003136.gencode.vH29	Ciliated
L3_B002385.gencode.vH29	Ciliated
L4_B002382.gencode.vH29	Ciliated
L5_B002382.gencode.vH29	Ciliated
L5_B003135.gencode.vH29	Ciliated
L6_B002014.gencode.vH29	Ciliated
L6_B003140.gencode.vH29	Ciliated
L7_B003137.gencode.vH29	Ciliated
L8_B003141.gencode.vH29	Ciliated
L9_B003137.gencode.vH29	Ciliated
L9_B003142.gencode.vH29	Ciliated
M1_B003137.gencode.vH29	Ciliated
M11_B002382.gencode.vH29	Ciliated
M13_B002382.gencode.vH29	Ciliated
M13_B002385.gencode.vH29	Ciliated
M2_B002382.gencode.vH29	Ciliated
M4_B002382.gencode.vH29	Ciliated
M4_B003135.gencode.vH29	Ciliated
M4_B003137.gencode.vH29	Ciliated
M4_B003140.gencode.vH29	Ciliated
M5_B003136.gencode.vH29	Ciliated
M5_B003137.gencode.vH29	Ciliated
M6_B002382.gencode.vH29	Ciliated
M6_B003142.gencode.vH29	Ciliated
M7_B003136.gencode.vH29	Ciliated
M9_B003135.gencode.vH29	Ciliated
N1_B003141.gencode.vH29	Ciliated
N10_B003136.gencode.vH29	Ciliated
N10_B003137.gencode.vH29	Ciliated
N10_B003141.gencode.vH29	Ciliated
N13_B003135.gencode.vH29	Ciliated
N14_B003140.gencode.vH29	Ciliated
N2_B002385.gencode.vH29	Ciliated
N3_B002014.gencode.vH29	Ciliated
N3_B003140.gencode.vH29	Ciliated
N5_B003135.gencode.vH29	Ciliated
N7_B002386.gencode.vH29	Ciliated
N7_B003137.gencode.vH29	Ciliated
N7_B003141.gencode.vH29	Ciliated
N8_B002386.gencode.vH29	Ciliated
N9_B003137.gencode.vH29	Ciliated
O1_B003137.gencode.vH29	Ciliated
O11_B003137.gencode.vH29	Ciliated
O11_B003142.gencode.vH29	Ciliated
O2_B002386.gencode.vH29	Ciliated
O2_B003137.gencode.vH29	Ciliated
O2_B003141.gencode.vH29	Ciliated
O3_B002382.gencode.vH29	Ciliated
O3_B002385.gencode.vH29	Ciliated
O5_B002382.gencode.vH29	Ciliated
O6_B002385.gencode.vH29	Ciliated
O8_B003136.gencode.vH29	Ciliated
P1_B003140.gencode.vH29	Ciliated
P10_B002385.gencode.vH29	Ciliated
P10_B003137.gencode.vH29	Ciliated
P10_B003141.gencode.vH29	Ciliated
P12_B003136.gencode.vH29	Ciliated
P12_B003140.gencode.vH29	Ciliated
P13_B002014.gencode.vH29	Ciliated
P13_B002382.gencode.vH29	Ciliated
P3_B003137.gencode.vH29	Ciliated
P3_B003140.gencode.vH29	Ciliated
P3_B003141.gencode.vH29	Ciliated
P4_B002386.gencode.vH29	Ciliated
P5_B003137.gencode.vH29	Ciliated
P6_B003140.gencode.vH29	Ciliated
P7_B002385.gencode.vH29	Ciliated
P7_B003141.gencode.vH29	Ciliated
P8_B002385.gencode.vH29	Ciliated
P8_B003138.gencode.vH29	Ciliated
P9_B003136.gencode.vH29	Ciliated
A1_B003141.gencode.vH29	Capillary
A15_B002383.gencode.vH29	Capillary
A16_B002382.gencode.vH29	Capillary
A17_B003136.gencode.vH29	Capillary
A19_B002014.gencode.vH29	Capillary
A20_B002383.gencode.vH29	Capillary
A20_B003136.gencode.vH29	Capillary
B10_B002382.gencode.vH29	Capillary
B10_B003135.gencode.vH29	Capillary
B13_B003142.gencode.vH29	Capillary Aerocyte
B14_B002014.gencode.vH29	Capillary
B14_B003135.gencode.vH29	Capillary
B14_B003138.gencode.vH29	Capillary
B14_B003141.gencode.vH29	Capillary
B14_B003142.gencode.vH29	Capillary
B15_B003142.gencode.vH29	Capillary
B16_B002382.gencode.vH29	Capillary
